LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,FACILITY_STATUS_DESC,LICENSE_NUM,LICENSEE_NAME,PARENT_OSHPD_ID,OSHPD_ID,PERM_ID,FACILITY_NUM,FACID,FACILITY_LEVEL_DESC,FACILITY_NAME,FACNAME,CONSOLIDATED_NAME,DBA_ADDRESS,DBA_CITY,DBA_ZIP_CODE,COUNTY_NAME,COUNTY_FIPS_CODE,LA_COUNTY_SPA_CODE,CONGRESSIONAL_DISTRICT_NUM,ASSEMBLY_DISTRICT_NUM,SENATE_DISTRICT_NUM,MSSA_CODE,MSSA_DESIGNATION,CENSUS_TRACT_ID,CENSUS_BLOCK_ID,LONGITUDE,LATITUDE
Hospital,General Acute Care Hospital,Open,140000066,"THC - ORANGE COUNTY, INC.",106010887,106010887,11321,010887,140000148,Parent Facility,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,,2800 BENEDICT DRIVE,SAN LEANDRO,94577,ALAMEDA,001,,13,18,9,2f,Urban,06001432800,060014328002000,-122.13119,37.71621
Hospital,General Acute Care Hospital,Open,140000284,SUTTER EAST BAY HOSPITALS,106010937,106010937,11322,010937,140000425,Parent Facility,ALTA BATES SUMMIT MEDICAL CENTER,ALTA BATES SUMMIT MEDICAL CENTER,,350 HAWTHORNE AVENUE,OAKLAND,94609,ALAMEDA,001,,13,18,9,2m,Urban,06001401300,060014013001009,-122.26257,37.82106
Hospital,General Acute Care Hospital,Open,140000107,HAYWARD SISTERS HOSPITAL,106010967,106010967,11344,010967,140000273,Parent Facility,ST. ROSE HOSPITAL,ST ROSE HOSPITAL D/P SNF,,27200 CALAROGA AVENUE,HAYWARD,94545,ALAMEDA,001,,15,20,10,2g,Urban,06001437300,060014373001010,-122.08962,37.63291
Hospital,General Acute Care Hospital,Open,140000107,HAYWARD SISTERS HOSPITAL,106010967,106010967,11344,010967,140000041,Parent Facility,ST. ROSE HOSPITAL,ST ROSE HOSPITAL,,27200 CALAROGA AVENUE,HAYWARD,94545,ALAMEDA,001,,15,20,10,2g,Urban,06001437300,060014373001010,-122.08962,37.63291
Hospital,General Acute Care Hospital,Open,140000116,WASHINGTON TOWNSHIP HEALTH CARE DISTRICT,106010987,106010987,11366,010987,140000118,Parent Facility,WASHINGTON HOSPITAL - FREMONT,WASHINGTON HOSPITAL,,2000 MOWRY AVENUE,FREMONT,94538,ALAMEDA,001,,17,20,10,2l,Urban,06001441924,060014419241012,-121.98006,37.55847
Hospital,General Acute Care Hospital,Open,140000284,SUTTER EAST BAY HOSPITALS,106010937,106013626,11338,013626,140000203,Consolidated Facility,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,,3100 SUMMIT STREET,OAKLAND,94609,ALAMEDA,001,,13,18,9,2m,Urban,06001401300,060014013001031,-122.2643,37.81994
Hospital,Chemical Dep. Recovery Hospital,Open,140000232,SUTTER EAST BAY HOSPITALS,106013687,106013687,15160,013687,140000025,Parent Facility,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,,3012 SUMMIT STREET,OAKLAND,94609,ALAMEDA,001,,13,18,9,2m,Urban,06001401300,060014013001031,-122.26451,37.81944
Hospital,Acute Psychiatric Hospital,Open,140000347,"BHC FREMONT HOSPITAL, INC.",106014034,106014034,16227,014034,140000707,Parent Facility,FREMONT HOSPITAL,FREMONT HOSPITAL,,39001 SUNDALE DRIVE,FREMONT,94538,ALAMEDA,001,,17,25,10,2j,Urban,06001441927,060014419272003,-121.97885,37.54652
Hospital,General Acute Care Hospital,Open,140000053,KAISER FOUNDATION HOSPITALS,106014132,106014132,14509,014132,140001086,Parent Facility,KAISER FOUNDATION HOSPITAL - FREMONT,KAISER FOUNDATION HOSPITAL - FREMONT,,39400 PASEO PADRE PARKWAY,FREMONT,94538,ALAMEDA,001,,17,25,10,2l,Urban,06001441925,060014419251021,-121.97483,37.55055
Hospital,General Acute Care Hospital,Open,140000030,SUTTER BAY HOSPITALS,106014233,106014233,18180,014233,140000183,Parent Facility,EDEN MEDICAL CENTER,EDEN MEDICAL CENTER,,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,ALAMEDA,,,15,20,10,2f,Urban,06001430900,060014309002004,-122.0874055,37.6983769
Hospital,General Acute Care Hospital,Open,550002678,KAISER FOUNDATION HOSPITALS,106014337,106014337,18186,014337,630015029,Parent Facility,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,,2500 MERCED STREET,SAN LEANDRO,94577,ALAMEDA,,,13,18,9,2g,Urban,06001432400,060014324002000,-122.16917,37.70611
Hospital,General Acute Care Hospital,Open,030000008,SUTTER VALLEY HOSPITALS,106034002,106034002,17490,034002,030000108,Parent Facility,SUTTER AMADOR HOSPITAL,SUTTER AMADOR HOSPITAL,,200 MISSION BLVD,JACKSON,95642,AMADOR,005,,4,5,8,4,Rural,06005000401,060050004012012,-120.77272,38.34743
Hospital,General Acute Care Hospital,Open,230000007,ORCHARD HOSPITAL,106040802,106040802,10006,040802,230000327,Parent Facility,ORCHARD HOSPITAL,ORCHARD HOSPITAL D/P SNF,,240 SPRUCE STREET,GRIDLEY,95948,BUTTE,007,,1,3,4,9,Rural,06007003502,060070035024004,-121.68955,39.36701
Hospital,General Acute Care Hospital,Open,230000007,ORCHARD HOSPITAL,106040802,106040802,10006,040802,230000001,Parent Facility,ORCHARD HOSPITAL,ORCHARD HOSPITAL,,240 SPRUCE STREET,GRIDLEY,95948,BUTTE,007,,1,3,4,9,Rural,06007003502,060070035024004,-121.68955,39.36701
Hospital,General Acute Care Hospital,Open,230000027,ENLOE MEDICAL CENTER,106040962,106040828,10009,040828,230000385,Consolidated Facility,ENLOE MEDICAL CENTER - COHASSET,ENLOE MEDICAL CENTER - COHASSET,,560 COHASSET ROAD,CHICO,95926,BUTTE,007,,1,3,4,7.1,Urban,06007000300,060070003001004,-121.84793,39.75187
Hospital,General Acute Care Hospital,Open,230000027,ENLOE MEDICAL CENTER,106040962,106040828,10009,040828,230000352,Consolidated Facility,ENLOE MEDICAL CENTER - COHASSET,ENLOE MEDICAL CENTER - COHASSET D/P APH,,560 COHASSET ROAD,CHICO,95926,BUTTE,007,,1,3,4,7.1,Urban,06007000300,060070003001004,-121.84793,39.75187
Hospital,General Acute Care Hospital,Open,230000027,ENLOE MEDICAL CENTER,106040962,106040828,10009,040828,230000002,Consolidated Facility,ENLOE MEDICAL CENTER - COHASSET,ENLOE MEDICAL CENTER - COHASSET,,560 COHASSET ROAD,CHICO,95926,BUTTE,007,,1,3,4,7.1,Urban,06007000300,060070003001004,-121.84793,39.75187
Hospital,General Acute Care Hospital,Open,230000017,FEATHER RIVER HOSPITAL,106040875,106040875,10014,040875,230000005,Parent Facility,ADVENTIST HEALTH FEATHER RIVER,FEATHER RIVER HOSPITAL,,5974 PENTZ ROAD,PARADISE,95969,BUTTE,007,,1,3,4,8,Rural,06007002000,060070020001011,-121.57228,39.75743
Hospital,General Acute Care Hospital,Open,230000022,OROVILLE HOSPITAL,106040937,106040937,10019,040937,230000014,Parent Facility,OROVILLE HOSPITAL,OROVILLE HOSPITAL,,2767 OLIVE HIGHWAY,OROVILLE,95966,BUTTE,007,,1,3,4,10,Rural,06007003001,060070030012000,-121.5428,39.50485
Hospital,General Acute Care Hospital,Open,230000022,OROVILLE HOSPITAL,106040937,106040937,10019,040937,230000829,Parent Facility,OROVILLE HOSPITAL,OROVILLE HOSPITAL - MEDICAL CLINIC,,2767 OLIVE HIGHWAY,OROVILLE,95966,BUTTE,007,,1,3,4,10,Rural,06007003001,060070030012000,-121.5428,39.50485
Hospital,General Acute Care Hospital,Open,230000027,ENLOE MEDICAL CENTER,106040962,106040962,10013,040962,230000013,Parent Facility,ENLOE MEDICAL CENTER- ESPLANADE,ENLOE MEDICAL CENTER - ESPLANADE,,1531 ESPLANADE,CHICO,95926,BUTTE,007,,1,3,4,7.1,Urban,06007000603,060070006031002,-121.84918,39.74226
Hospital,General Acute Care Hospital,Open,030000058,MARK TWAIN MEDICAL CENTER,106050932,106050932,10029,050932,030000120,Parent Facility,MARK TWAIN MEDICAL CENTER,MARK TWAIN MEDICAL CENTER,,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,CALAVERAS,009,,4,5,8,12,Rural,06009000300,060090003003015,-120.67095,38.19057
Hospital,General Acute Care Hospital,Open,140000090,COUNTY OF CONTRA COSTA,106070924,106070924,10049,070924,140000195,Parent Facility,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA REGIONAL MEDICAL CENTER,,2500 ALHAMBRA AVENUE,MARTINEZ,94553,CONTRA COSTA,013,,5,14,3,18a,Urban,06013318000,060133180002066,-122.13101,38.00646
Hospital,General Acute Care Hospital,Open,140000090,COUNTY OF CONTRA COSTA,106070924,106070924,10049,070924,140000344,Parent Facility,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA REGIONAL MEDICAL CENTER D/P APH,,2500 ALHAMBRA AVENUE,MARTINEZ,94553,CONTRA COSTA,013,,5,14,3,18a,Urban,06013318000,060133180002066,-122.13101,38.00646
Hospital,General Acute Care Hospital,Open,140000258,SUTTER EAST BAY HOSPITALS,106070934,106070934,10052,070934,140000016,Parent Facility,SUTTER DELTA MEDICAL CENTER,SUTTER DELTA MEDICAL CENTER,,3901 LONE TREE WAY,ANTIOCH,94509,CONTRA COSTA,013,,9,11,7,18e,Urban,06013355109,060133551091004,-121.8054,37.98222
Hospital,General Acute Care Hospital,Open,140000265,JOHN MUIR HEALTH,106070988,106070988,10081,070988,140000187,Parent Facility,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,CONTRA COSTA,013,,11,16,7,18j,Urban,06013338302,060133383023008,-122.040781,37.91304
Hospital,General Acute Care Hospital,Open,140000128,JOHN MUIR HEALTH,106071018,106071018,10048,071018,140000196,Parent Facility,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,,2540 EAST STREET,CONCORD,94520,CONTRA COSTA,013,,11,14,7,18c,Urban,06013329000,060133290004007,-122.03874,37.98615
Hospital,General Acute Care Hospital,Open,140000345,"SAN RAMON REGIONAL MEDICAL CENTER, INC",106074017,106074011,16166,074011,140000885,Consolidated Facility,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,SAN RAMON REGIONAL MEDICAL CENTER D/P SNF,,7777 NORRIS CANYON ROAD,SAN RAMON,94583,CONTRA COSTA,013,,15,16,7,18h,Urban,06013345108,060133451081008,-121.95748,37.77405
Hospital,General Acute Care Hospital,Open,140000345,"SAN RAMON REGIONAL MEDICAL CENTER, INC",106074017,106074011,16166,074011,140000683,Consolidated Facility,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,,7777 NORRIS CANYON ROAD,SAN RAMON,94583,CONTRA COSTA,013,,15,16,7,18h,Urban,06013345108,060133451081008,-121.95748,37.77405
Hospital,General Acute Care Hospital,Open,140000345,"SAN RAMON REGIONAL MEDICAL CENTER, INC",106074017,106074017,16228,074017,140000704,Parent Facility,SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON REGIONAL MEDICAL CENTER,,6001 NORRIS CANYON ROAD,SAN RAMON,94583,CONTRA COSTA,013,,15,16,7,18h,Urban,06013345108,060133451081008,-121.95884,37.77549
Hospital,Acute Psychiatric Hospital,Open,140000418,JOHN MUIR HEALTH,106074039,106074039,16891,074039,140000832,Parent Facility,JOHN MUIR BEHAVIORAL HEALTH CENTER,JOHN MUIR BEHAVIORAL HEALTH CENTER,,2740 GRANT STREET,CONCORD,94520,CONTRA COSTA,013,,11,14,7,18b,Urban,06013327000,060133270002000,-122.04081,37.98921
Hospital,General Acute Care Hospital,Open,140000052,KAISER FOUNDATION HOSPITALS,106014326,106074093,17749,074093,140000191,Consolidated Facility,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,,901 NEVIN AVE,RICHMOND,94801,CONTRA COSTA,013,,11,15,9,18f,Urban,06013376000,060133760004013,-122.36093,37.93685
Hospital,General Acute Care Hospital,Open,550000614,KAISER FOUNDATION HOSPITALS,106074097,106074097,18153,074097,630011203,Parent Facility,KAISER FOUNDATION HOSPITAL - ANTIOCH,KAISER FOUNDATION HOSPITAL - ANTIOCH,,4501 SAND CREEK ROAD,ANTIOCH,94531,CONTRA COSTA,,,9,11,7,18e,Urban,06013303201,060133032012034,-121.776854,37.951975
Hospital,General Acute Care Hospital,Open,030000013,BARTON HEALTHCARE SYSTEM,106090793,106090793,10109,090793,030001525,Parent Facility,BARTON MEMORIAL HOSPITAL,BARTON HOSPITAL D/P SNF,,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,EL DORADO,017,,4,5,1,24,Rural,06017030402,060170304022004,-119.99758,38.91228
Hospital,General Acute Care Hospital,Open,030000013,BARTON HEALTHCARE SYSTEM,106090793,106090793,10109,090793,030000114,Parent Facility,BARTON MEMORIAL HOSPITAL,BARTON MEMORIAL HOSPITAL,,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,EL DORADO,017,,4,5,1,24,Rural,06017030402,060170304022004,-119.99758,38.91228
Hospital,General Acute Care Hospital,Open,030000059,MARSHALL MEDICAL CENTER,106090933,106090933,10112,090933,030001064,Parent Facility,MARSHALL  MEDICAL CENTER,MARSHALL MEDICAL CENTER D/P SNF,,1100 MARSHALL WAY,PLACERVILLE,95667,EL DORADO,017,,4,5,1,23.3,Rural,06017031200,060170312002052,-120.79092,38.72556
Hospital,General Acute Care Hospital,Open,030000059,MARSHALL MEDICAL CENTER,106090933,106090933,10112,090933,030000121,Parent Facility,MARSHALL  MEDICAL CENTER,MARSHALL MEDICAL CENTER,,1100 MARSHALL WAY,PLACERVILLE,95667,EL DORADO,017,,4,5,1,23.3,Rural,06017031200,060170312002052,-120.79092,38.72556
Hospital,General Acute Care Hospital,Open,040000004,FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,106100005,106100005,16116,100005,040000095,Parent Facility,CLOVIS COMMUNITY MEDICAL CENTER,CLOVIS COMMUNITY MEDICAL  CENTER,,2755 HERNDON AVENUE,CLOVIS,93611,FRESNO,019,,22,23,8,31,Rural,06019005907,060190059071003,-119.66072,36.83745
Hospital,General Acute Care Hospital,Open,040000085,COALINGA HOSPITAL DISTRICT,106100697,106100697,10122,100697,040000798,Parent Facility,COALINGA REGIONAL MEDICAL CENTER,COALINGA REGIONAL MEDICAL CENTER D/P SNF,,1191 PHELPS AVENUE,COALINGA,93210,FRESNO,019,,21,31,12,27,Rural,06019007902,060190081001001,-120.34035,36.15152
Hospital,General Acute Care Hospital,Open,040000085,COALINGA HOSPITAL DISTRICT,106100697,106100697,10122,100697,040000096,Parent Facility,COALINGA REGIONAL MEDICAL CENTER,COALINGA REGIONAL MEDICAL CENTER,,1191 PHELPS AVENUE,COALINGA,93210,FRESNO,019,,21,31,12,27,Rural,06019007902,060190081001001,-120.34035,36.15152
Hospital,General Acute Care Hospital,Open,040000096,FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,106100717,106100717,10127,100717,040000101,Parent Facility,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,COMMUNITY REGIONAL MEDICAL CENTER,,2823 FRESNO STREET,FRESNO,93721,FRESNO,019,,16,31,14,35c,Urban,06019000502,060190005021003,-119.784071,36.74252
Hospital,General Acute Care Hospital,Open,550001439,HANFORD COMMUNITY HOSPITAL,106164029,106100793,10160,100793,040000122,Consolidated Facility,ADVENTIST HEALTH SELMA,ADVENTIST MEDICAL CENTER - SELMA,,1141 ROSE AVENUE,SELMA,93662,FRESNO,019,,21,31,14,30,Rural,06019007004,060190070041035,-119.5983879,36.5688374
Hospital,General Acute Care Hospital,Open,110000075,ST. JOSEPH HOSPITAL,106121080,106120981,10180,120981,110000069,Consolidated Facility,"GENERAL HOSPITAL, THE",THE GENERAL HOSPITAL,,2200 HARRISON AVENUE,EUREKA,95501,HUMBOLDT,023,,2,2,2,39,Rural,06023000600,060230006001011,-124.13979,40.78743
Hospital,General Acute Care Hospital,Open,110000075,ST. JOSEPH HOSPITAL,106121080,106120981,10180,120981,110000426,Consolidated Facility,"GENERAL HOSPITAL, THE",THE GENERAL HOSPITAL,,2200 HARRISON AVENUE,EUREKA,95501,HUMBOLDT,023,,2,2,2,39,Rural,06023000600,060230006001011,-124.13979,40.78743
Hospital,General Acute Care Hospital,Open,110000031,AMERICAN HOSPITAL MANAGEMENT CORPORATION,106121002,106121002,13087,121002,110000021,Parent Facility,MAD RIVER COMMUNITY HOSPITAL,MAD RIVER COMMUNITY HOSPITAL,,3800 JANES ROAD,ARCATA,95521,HUMBOLDT,023,,2,2,2,39,Rural,06023001101,060230011011003,-124.09038,40.90351
Hospital,General Acute Care Hospital,Open,110000031,AMERICAN HOSPITAL MANAGEMENT CORPORATION,106121002,106121002,13087,121002,630011457,Parent Facility,MAD RIVER COMMUNITY HOSPITAL,MAD RIVER EXPRESS CARE,,3800 JANES ROAD,ARCATA,95521,HUMBOLDT,023,,2,2,2,39,Rural,06023001101,060230011011003,-124.09038,40.90351
Hospital,General Acute Care Hospital,Open,110000052,SOUTHERN HUMBOLDT COMMUNITY HEALTHCARE,106121031,106121031,10186,121031,110000057,Parent Facility,JEROLD PHELPS COMMUNITY HOSPITAL,JEROLD PHELPS COMMUNITY HOSPITAL,,733 CEDAR STREET,GARBERVILLE,95542,HUMBOLDT,023,,2,2,2,44,Frontier,06023011600,060230116002030,-123.79286,40.10195
Hospital,General Acute Care Hospital,Open,110000052,SOUTHERN HUMBOLDT COMMUNITY HEALTHCARE,106121031,106121031,10186,121031,110000621,Parent Facility,JEROLD PHELPS COMMUNITY HOSPITAL,JEROLD PHELPS COMMUNITY HOSPITAL D/P SNF,,733 CEDAR STREET,GARBERVILLE,95542,HUMBOLDT,023,,2,2,2,44,Frontier,06023011600,060230116002030,-123.79286,40.10195
Hospital,General Acute Care Hospital,Open,110000173,REDWOOD MEMORIAL HOSPITAL,106121051,106121051,10183,121051,110000045,Parent Facility,REDWOOD MEMORIAL HOSPITAL,REDWOOD MEMORIAL HOSPITAL,,3300 RENNER DRIVE,FORTUNA,95540,HUMBOLDT,023,,2,2,2,42,Rural,06023010901,060230109013037,-124.13549,40.58267
Hospital,General Acute Care Hospital,Open,110000075,ST. JOSEPH HOSPITAL,106121080,106121080,10184,121080,110000067,Parent Facility,ST. JOSEPH HOSPITAL - EUREKA,ST. JOSEPH HOSPITAL,,2700 DOLBEER STREET,EUREKA,95501,HUMBOLDT,023,,2,2,2,39,Rural,06023000600,060230006002011,-124.14216,40.7832
Hospital,General Acute Care Hospital,Open,090000004,CITY OF EL CENTRO,106130699,106130699,10190,130699,090000040,Parent Facility,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO REGIONAL MEDICAL CENTER,,1415 ROSS AVENUE,EL CENTRO,92243,IMPERIAL,025,,51,56,40,48,Rural,06025011300,060250113001137,-115.49824,32.78138
Hospital,General Acute Care Hospital,Open,240000179,NORTH INYO COUNTY LOCAL HOSPITAL DISTRICT,106141273,106141273,10200,141273,240000037,Parent Facility,NORTHERN INYO HOSPITAL,NORTHERN INYO HOSPITAL,,150 PIONEER LANE,BISHOP,93514,INYO,027,,8,26,8,53,Rural,06027000400,060270004002024,-118.40756,37.36207
Hospital,General Acute Care Hospital,Open,120000180,CENTRAL CALIFORNIA FOUNDATION FOR HEALTH (CCFH),106150706,106150706,12765,150706,120000399,Parent Facility,DELANO REGIONAL MEDICAL CENTER,DELANO REGIONAL MEDICAL CENTER D/P SNF,,1401 GARCES HIGHWAY,DELANO,93215,KERN,029,,21,32,14,60,Urban,06029005003,060290050031007,-119.23706,35.76143
Hospital,General Acute Care Hospital,Open,120000180,CENTRAL CALIFORNIA FOUNDATION FOR HEALTH (CCFH),106150706,106150706,12765,150706,120000336,Parent Facility,DELANO REGIONAL MEDICAL CENTER,DELANO REGIONAL MEDICAL CENTER,,1401 GARCES HIGHWAY,DELANO,93215,KERN,029,,21,32,14,60,Urban,06029005003,060290050031007,-119.23706,35.76143
Hospital,General Acute Care Hospital,Open,120000181,BAKERSFIELD MEMORIAL HOSPITAL,106150722,106150722,10207,150722,120000338,Parent Facility,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD MEMORIAL HOSPITAL,,420 34TH STREET,BAKERSFIELD,93301,KERN,029,,23,34,16,66a,Urban,06029000600,060290006001024,-119.00658,35.39051
Hospital,General Acute Care Hospital,Open,120000182,KERN COUNTY HOSPITAL AUTHORITY,106150736,106150736,10208,150736,120000402,Parent Facility,KERN MEDICAL CENTER,KERN MEDICAL CENTER D/P APH,,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,KERN,,,23,32,16,66a,Urban,06029000905,060290009052004,-118.967222,35.380833
Hospital,General Acute Care Hospital,Open,120000182,KERN COUNTY HOSPITAL AUTHORITY,106150736,106150736,10208,150736,120000342,Parent Facility,KERN MEDICAL CENTER,KERN MEDICAL CENTER,,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,KERN,,,23,32,16,66a,Urban,06029000905,060290009052004,-118.967222,35.380833
Hospital,General Acute Care Hospital,Open,120000183,KERN VALLEY HEALTHCARE DISTRICT,106150737,106150737,10210,150737,120000344,Parent Facility,KERN VALLEY HEALTHCARE DISTRICT,KERN VALLEY HEALTHCARE DISTRICT,,6412 LAUREL AVENUE,LAKE ISABELLA,93240,KERN,029,,23,26,16,63,Frontier,06029005203,060290052033109,-118.40509,35.63486
Hospital,General Acute Care Hospital,Open,120000183,KERN VALLEY HEALTHCARE DISTRICT,106150737,106150737,10210,150737,120000695,Parent Facility,KERN VALLEY HEALTHCARE DISTRICT,KERN VALLEY HEALTHCARE DISTRICT D/P SNF,,6412 LAUREL AVENUE,LAKE ISABELLA,93240,KERN,029,,23,26,16,63,Frontier,06029005203,060290052033109,-118.40509,35.63486
Hospital,General Acute Care Hospital,Open,120000184,DIGNITY HEALTH,106150761,106150761,10214,150761,120000404,Parent Facility,MERCY HOSPITAL - BAKERSFIELD,MERCY HOSPITAL,,2215 TRUXTUN AVENUE,BAKERSFIELD,93301,KERN,029,,23,34,16,66d,Urban,06029001700,060290017004031,-119.02715,35.37323
Hospital,General Acute Care Hospital,Open,120000146,"GOOD SAMARITAN HOSPITAL, A CALIF LTD PARTNERSHIP",106150775,106150775,10219,150775,120000319,Parent Facility,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,GOOD SAMARITAN HOSPITAL,,901 OLIVE DRIVE,BAKERSFIELD,93308,KERN,029,,23,34,16,66a,Urban,06029000200,060290002007017,-119.03913,35.41216
